Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
Mother and Child,1,125,R,7,168,119,43040,1110509,79,76,2010,5,10.66988519,15.76142071,4.779123493,13.92032903
Made in Dagenham,1,113,R,7.2,147,89,37563,1095369,80,75,2010,11,10.5337748,15.78959158,4.48863637,13.90660185
La Mission,0,117,R,3,122,47,49046,1062941,48,73,2010,4,10.80051391,14.91412285,3.850147602,13.87655015
Buried,1,100,R,2,49,107,100268,1044143,87,64,2010,9,11.51560188,14.50865774,4.672828834,13.85870701
The Perfect Game,0,118,PG,12.5,28,417,511698,1037071,57,68,2010,4,13.14548989,16.3412392,6.033086222,13.85191095
What If...,0,100,PG,,188,82,49770,814906,40,65,2010,8,10.81516767,,4.406719247,13.61082805
Middle Men,0,105,R,20,20,252,325641,754301,40,56,2010,8,12.69355083,16.81124283,5.529429088,13.53354677
The Virginity Hit,1,86,R,2,13,700,301885,636706,29,31,2010,9,12.61780143,14.50865774,6.551080335,13.36406329
Howl,0,90,R,,139,29,51185,617334,63,58,2010,9,10.8432018,,3.36729583,13.33316549
All Good Things,0,101,R,20,126,35,37172,582024,32,38,2010,12,10.52331107,16.81124283,3.555348061,13.27426696
Jack Goes Boating,0,89,R,,91,90,28916,541992,68,49,2010,9,10.27215035,,4.49980967,13.20300652
Standing Ovation,0,106,PG,5.6,14,625,343125,531806,6,48,2010,7,12.74585009,15.53827716,6.43775165,13.18403404
Preacher's Kid,0,101,PG-13,7,77,109,190638,515065,50,64,2010,1,12.15813162,15.76142071,4.691347882,13.15204839
The City of Your Final Destination,0,114,PG-13,8.3,122,26,24401,493296,38,38,2010,4,10.10237939,15.93176607,3.258096538,13.10886468
The Extra Man,0,108,R,7,91,33,18861,453377,43,38,2010,7,9.844851577,15.76142071,3.496507561,13.02447929
I'm Still Here,0,108,R,,56,120,96658,408983,53,38,2010,9,11.47893425,,4.787491743,12.92142887
Harry Potter and the Deathly Hallows Part 2,1,130,PG-13,125,133,4375,169189427,381011219,96,89,2011,7,18.94652952,18.6438243,8.383661799,19.75833938
Transformers: Dark of the Moon,1,154,PG-13,195,107,4088,97852865,352390543,36,56,2011,6,18.39897553,19.08851012,8.315811132,19.68025062
The Twilight Saga: Breaking Dawn Part 1,0,108,PG-13,110,98,4066,138122261,281287133,24,59,2011,11,18.7436498,18.51599092,8.310414994,19.45488653
The Hangover Part II,1,102,R,80,113,3675,85946294,254464305,34,53,2011,5,18.26923317,18.19753719,8.209308412,19.35467113
Pirates of the Caribbean: On Stranger Tides,1,137,PG-13,250,133,4164,90151958,241071802,33,54,2011,5,18.31700723,19.33697148,8.33423143,19.30060538
Fast Five,1,130,PG-13,125,105,3793,86198765,209837675,77,82,2011,4,18.27216641,18.6438243,8.240912542,19.16184481
Cars 2,1,113,G,200,175,4115,66135507,191452396,39,51,2011,6,18.00721633,19.11382792,8.322394113,19.07014975
