Title,MajorStudio,Runtime,Rating,Production Budget (in millions),In Release,Widest Release,Opening Weekend Gross,Total Gross,Critic Rating,Audience Rating,Year,MonthOfRelease,LogOpeningWeekendGross,LogProductionBudget,LogWidestRelease,LogTotalGross
My Soul to Take,1,107,R,25,28,2572,6842220,14744435,9,26,2010,10,15.7386227983436,17.0343863828325,7.85243908535751,16.5063762814234
Repo Men,1,111,R,32,35,2521,6126170,13794835,22,41,2010,3,15.6280803165612,17.281246460764,7.83241092718792,16.4398048047066
Case 39,0,109,R,26,49,2212,5350570,13261851,22,40,2010,10,15.4927136552531,17.0736070959858,7.70165236264223,16.40040212574
Let Me In,0,115,R,20,70,2042,5147479,12134935,88,76,2010,10,15.4540176382254,16.8112428315183,7.62168499872461,16.3115990407214
Extraordinary Measures,0,106,PG,31,21,2549,6012594,12068313,28,53,2010,1,15.6093668273696,17.2494977624494,7.84345640437612,16.3060938152854
Jonah Hex,1,81,PG-13,47,56,2825,5379365,10547117,12,20,2010,6,15.4980808954321,17.6656581596743,7.94626364358054,16.1713631103991
Blue Valentine,1,112,R,1,114,450,193728,9706328,87,76,2010,12,12.1742103923814,13.8155105579643,6.10924758276437,16.0882886019061
Fair Game (2010),0,108,PG-13,22,105,436,651082,9540691,79,65,2010,11,13.3863908733198,16.9065530113226,6.07764224334903,16.0710764726672
Get Low,1,100,PG-13,7,210,570,88182,9176933,84,75,2010,7,11.3871581395347,15.7614207070196,6.3456363608286,16.0322036109137
MacGruber,1,88,R,10,21,2551,4043495,8525600,47,33,2010,5,15.2126199749648,16.1180956509583,7.84424071814181,15.9585839598889
Cyrus,1,92,R,7,118,454,181716,7468936,80,53,2010,6,12.1102003077447,15.7614207070196,6.11809719804135,15.8262631105517
City Island,0,100,PG-13,6,168,269,32001,6671036,81,80,2010,3,10.3735224312936,15.6072700271923,5.59471137960184,15.7132857281694
The Last Station,1,112,R,18,161,354,73723,6617867,71,67,2010,1,11.2080701054756,16.7058823158604,5.86929691313377,15.7052836705558
Winter's Bone,0,100,R,2,315,141,84797,6531503,94,76,2010,6,11.3480154437957,14.5086577385242,4.94875989037817,15.6921476432212
It's Kind of a Funny Story,0,101,PG-13,8,49,757,2013406,6363628,58,66,2010,10,14.5153383733068,15.8949520996441,6.62936325343745,15.6661092129287
The Warrior's Way,0,100,R,42,63,1622,3048665,5666340,29,47,2010,12,14.9302143478448,17.5531801762476,7.39141523467536,15.5500539646319
Solitary Man,0,90,R,15,140,177,94936,4360548,81,50,2010,5,11.460958259345,16.5235607590665,5.17614973257383,15.2881082955005
Greenberg,0,107,R,,70,186,118152,4234170,75,42,2010,3,11.6797272101061,,5.2257466737132,15.2586978810282
Please Give,1,90,R,3,175,272,118123,4033574,86,64,2010,4,11.6794817334358,14.9141228466324,5.605802066296,15.2101633895402
To Save a Life,0,120,PG-13,0.5,77,441,1581517,3777210,33,82,2010,1,14.2738950709587,13.1223633774043,6.08904487544685,15.1444961998313
The Runaways,0,109,R,10,77,244,805115,3573673,69,55,2010,3,13.5987404033404,16.1180956509583,5.4971682252932,15.0891044763914
You Will Meet a Tall Dark Stger,1,98,R,22,142,402,160103,3248246,46,34,2010,9,11.9835726370978,16.9065530113226,5.99645208861902,14.9936257163119
Another Year,1,129,PG-13,8,149,236,111869,3205706,93,74,2010,12,11.625083822854,15.8949520996441,5.46383180502561,14.9804429048899
Chloe,1,96,R,14,112,350,900688,3075255,51,39,2010,3,13.7109141947121,16.4545678875795,5.85793315448346,14.9388983826138
Letters to God,0,110,PG,3,84,897,1088873,2848578,25,74,2010,4,13.9006537743614,14.9141228466324,6.7990558620588,14.8623304803608
N'Secure,0,109,R,1.6,35,486,1166406,2595644,,46,2010,10,13.9694377842562,14.28551418721,6.18620862390049,14.76934521335
Never Let Me Go,1,104,R,15,92,232,111734,2434652,71,71,2010,9,11.6238763254913,16.5235607590665,5.44673737166631,14.7053143884743
Rabbit Hole,1,92,PG-13,5,112,131,53778,2229058,86,72,2010,12,10.8926197405854,15.4249484703984,4.87519732320115,14.6170896326665
I Love You Phillip Morris,0,100,R,13,133,100,112520,2037459,72,61,2010,12,11.6308862626038,16.3804599154258,4.60517018598809,14.5272140011953
Harry Brown,0,103,R,7.3,105,67,173353,1818681,64,75,2010,4,12.0630852569917,15.8033849061186,4.20469261939097,14.4136220710379
Stone,0,105,R,22,84,125,75766,1810078,51,21,2010,10,11.2354049221897,16.9065530113226,4.8283137373023,14.4088804962361
