API,CasingSize,CasingType,CasingWeight,CementSacks,CompletionDate,LowerSetDepth,UpperSetDepth,WellboreSize,WellId
4232936565,9.625,Casing,36,290,6/13/2010 12:00:00 AM,465,,12.25,dd9b5559-ede4-4574-ba51-1363def6979c
4232936565,5.5,Casing,17,780,6/13/2010 12:00:00 AM,11000,5616,7.875,dd9b5559-ede4-4574-ba51-1363def6979c
4232936568,4.5,Casing,11.6,500,5/18/2010 12:00:00 AM,10700,4990,6.125,2f89d873-d046-49be-8f3e-4dee9381ff2e
4232936568,7,Casing,26,300,5/18/2010 12:00:00 AM,6243,4160,8.75,2f89d873-d046-49be-8f3e-4dee9381ff2e
4232936568,9.625,Casing,36,695,5/18/2010 12:00:00 AM,1826,,12.25,2f89d873-d046-49be-8f3e-4dee9381ff2e
4232936538,5.5,Casing,17,745,11/2/2010 12:00:00 AM,10795,6376,8.75,5874ad3c-6324-4858-a3e6-21f4c232e3b1
4232936538,9.625,Casing,36,315,11/2/2010 12:00:00 AM,445,,12.25,5874ad3c-6324-4858-a3e6-21f4c232e3b1
4232936533,9.625,Casing,36,315,8/5/2010 12:00:00 AM,464,,12.25,b3d7215a-3213-4000-94b8-22a235750d57
4232936533,5.5,Casing,17,800,8/5/2010 12:00:00 AM,10830,6780,8.75,b3d7215a-3213-4000-94b8-22a235750d57
4232936539,5.5,Casing,17,790,7/28/2010 12:00:00 AM,10840,6796,8.75,1db772f7-77d0-4a51-bc7a-3059375c3746
4232936539,9.625,Casing,36,315,7/28/2010 12:00:00 AM,495,,12.25,1db772f7-77d0-4a51-bc7a-3059375c3746
4232936530,12.75,Casing,35,340,7/9/2010 12:00:00 AM,303,,17.5,26212f98-19f8-4bc8-90d7-983cfcf6d746
4232936530,8.625,Casing,32,580,7/9/2010 12:00:00 AM,5235,2324,11,26212f98-19f8-4bc8-90d7-983cfcf6d746
4232936530,5.5,Casing,17,1065,7/9/2010 12:00:00 AM,10799,3724,7.875,26212f98-19f8-4bc8-90d7-983cfcf6d746
4232936537,9.625,Casing,36,670,11/16/2010 12:00:00 AM,490,,14.75,bbed746f-2bd7-4613-9eaa-c3c2617107a0
4232936537,5.5,Casing,17,775,11/16/2010 12:00:00 AM,10850,6584,8.75,bbed746f-2bd7-4613-9eaa-c3c2617107a0
4232936536,5.5,Casing,17,780,9/22/2010 12:00:00 AM,10884,6562,8.75,ca8ebefc-e86a-42de-8bfc-d5d9e8f53e65
4232936536,9.625,Casing,36,315,9/22/2010 12:00:00 AM,500,,12.25,ca8ebefc-e86a-42de-8bfc-d5d9e8f53e65
4232932264,8.625,Casing,32,250,2/25/2010 12:00:00 AM,4280,,12.25,b925f527-2141-47ca-9ace-331666289b66
4232932264,5.5,Casing,20,2150,2/25/2010 12:00:00 AM,11800,4000,7.875,b925f527-2141-47ca-9ace-331666289b66
4232932264,12.375,Casing,48,300,2/25/2010 12:00:00 AM,257,,17.5,b925f527-2141-47ca-9ace-331666289b66
4232932264,8.625,Casing,32,250,12/31/1990 12:00:00 AM,4280,3000,11,b925f527-2141-47ca-9ace-331666289b66
4232932264,5.5,Casing,17,2150,12/31/1990 12:00:00 AM,11800,4000,7.875,b925f527-2141-47ca-9ace-331666289b66
4232936573,12.75,Casing,35,350,1/18/2011 12:00:00 AM,360,,17.5,4b3c87fb-55de-40b1-aa79-7764070b4e5b
4232936573,4.5,Casing,11.6,1100,1/18/2011 12:00:00 AM,10509,7050,7.875,4b3c87fb-55de-40b1-aa79-7764070b4e5b
4232936572,9.625,Casing,36,260,9/10/2010 12:00:00 AM,385,,12.25,c7101f06-19ed-455f-8bde-e3266ffa4c7e
4232936572,5.5,Casing,17,895,9/10/2010 12:00:00 AM,11028,7500,7.875,c7101f06-19ed-455f-8bde-e3266ffa4c7e
4232936546,9.625,Casing,36,1100,2/23/2011 12:00:00 AM,1703,,14.75,ebcde72a-89d5-4a34-9955-cf767acb0dd6
4232936546,5.5,Casing,17,1000,2/23/2011 12:00:00 AM,10841,,7.875,ebcde72a-89d5-4a34-9955-cf767acb0dd6
4232936544,8.625,Casing,32,475,2/4/2011 12:00:00 AM,5056,1988,11,2dc814c7-a294-49fb-b60c-dc81f23559e9
4232936544,12.75,Casing,35,275,2/4/2011 12:00:00 AM,283,,17.5,2dc814c7-a294-49fb-b60c-dc81f23559e9
4232936544,4.5,Casing,11.6,1030,2/4/2011 12:00:00 AM,10082,5125,7.875,2dc814c7-a294-49fb-b60c-dc81f23559e9
4232936275,9.625,Casing,36,490,,1194,,12.25,919986a9-b44a-419d-b261-cc81d890f99e
4232936275,13.375,Casing,48,325,,284,,17.5,919986a9-b44a-419d-b261-cc81d890f99e
4232936275,5.5,Casing,17,790,,10820,7010,8.75,919986a9-b44a-419d-b261-cc81d890f99e
