WellId,API,Leg,MeasuredDepth,Incline,Azimuth,TVD,FtNS,NS,ftEW,EW,Latitude,Longitude
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,20211,92,2.6,11090.98,9197.1,N,486.6,W,48.01908,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16902,90.2,0.5,11087.07,5890.48,N,505.35,W,48.01001,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,8152,0.7,197.2,8151.65,22.56,S,20.95,W,47.99379,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15767,89.6,358.1,11083.89,4755.88,N,494.45,W,48.0069,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,19076,90,0.4,11083.26,8062.97,N,495.04,W,48.01597,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,3607,0.4,159.4,3606.81,5.75,S,18.65,W,47.99384,-103.3927
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16240,89.1,358,11085.46,5228.73,N,504.28,W,48.0082,-103.3947
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14918,88.3,358.8,11098,3907.39,N,475.77,W,48.00457,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,2850,1,289.2,2849.92,4.89,S,7.69,W,47.99384,-103.3926
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,13404,90.3,1.5,11091.75,2393.77,N,487.24,W,48.00042,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11306,70.1,339.1,11035.56,311.36,N,418.5,W,47.99471,-103.3943
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,16145,89.6,358.8,11084.39,5133.77,N,501.63,W,48.00793,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,11338,71.4,340.6,11046.11,339.72,N,428.91,W,47.99478,-103.3943
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,17658,90.8,2.4,11085.09,6645.71,N,479.19,W,48.01208,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,15862,90.6,0.1,11083.72,4850.87,N,495.94,W,48.00716,-103.3946
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,LAT1,14445,91.7,0.6,11094.39,3434.47,N,474.62,W,48.00327,-103.3945
2e852d7a-bea1-4e3c-9f93-01df39214ec1,33053068210000,VERT,9950,0.5,117.8,9949.56,23.24,S,19.48,W,47.99379,-103.3927
