WellId,API,Supplier,Purpose,TradeName,IngredientName,CASNumber,PercentOfTotalFluid,IngredientMass
167b05f7-3759-4b72-bd21-80b2734ffc60,4237139605,BJ SERVICES,Diverter,InnoFrac DP NW-TM,MSDS AND NON-MSDS INGREDIENTS ARE LISTED BELOW THE GREEN LINE,,0.001257544,3317.3
f99a4b98-434a-4a89-9865-200ba74c7151,4237139666,LIBERTY OILFIELD SERVICES,Powder Breaker,BLR-18,AMMONIUM PERSULFATE,7727-5-4--0,0.002109674,4663
8de9ed85-78ef-4501-92ec-83adff1d5172,4237139485,,,,SORBITAN MONO-9Z-9-OCTADECENOATE,1338-4-3--8,0.002535611,4417
eb227087-f3a0-480f-a54a-4ab866e2b7df,4237139535,,Other Chemicals,,ACETALDEHYDE,75-0-7--0,0,0
3515340c-4733-4836-a594-5d8a5d5aea3b,4237139588,BJ SERVICES,Proppant,"Sand, White",MSDS AND NON-MSDS INGREDIENTS ARE LISTED BELOW THE GREEN LINE,,4.267048,1.193016E+07
b01a6ad3-aeba-422b-8bb4-a3474a608d7c,4237139639,,Other Chemicals,,PROPYLALCOHOL,71-2-3--8,0,0
c1e8734d-5c40-4c29-ba75-082f310c83ee,4237139514,LIBERTY OILFIELD SERVICES,Sand,Crystalline Silica Quartz / US Silica,IRON OXIDE,1317-6-1--9,0.009131661,20132.3
fba61f8d-053e-4e75-ab1b-180b5304fcbc,4237139676,LIBERTY OILFIELD SERVICES,Friction reduction,FRP-2S,PETROLEUM DISTILLATE,64742-4-7--8,0.03232984,80336.72
087dea65-bdd1-4c45-87e7-036f08389946,4237139403,,,,C10-C16 ETHOXYLATED ALCOHOLS,68002-9-7--1,0.0007854115,1234
21d0633b-5f5b-4b3f-8566-3609751f595e,4237139613,ACE COMPLETIONS,Gelling Agents,SG-15G,SURFACTANT,68131-4-0--8,0.005239377,12535.22
1ac3f2e5-473f-4cf5-a6ed-64954212bb7a,4237139551,ACE COMPLETIONS,Clay Control / Stabilizers,CS-15,PETROLEUM DISTILLATES HYDROTREATED LIGHT,7791-1-8--6,0.04724274,130519.9
e07560e6-431d-4e89-b278-531b92d05681,4237139583,,,,QUATERNARY AMMONIUM COMPOUNDS BENZYL-C12-18-ALKYLDIMETHYLCHLORI DES,68391-0-1--5,0.0101911,30813
