API,Comments,LowerPerf,PerfDate,Reservoir,UpperPerf,WellId
4232936147,,10634,,,8187,c5cdd98d-cc98-4755-a92d-5a10940a7dfe
4232936927,,10350,,UPPER SPRABERRY,8342,c3d59411-854b-4a27-a806-5f195e76a401
4232937649,,9148,,DEAN,8946,9dcdd786-7838-46b7-afca-841692a81208
4232937156,,9527,,WOLFCAMP B,9284,0db26bc9-bdba-4021-8d93-6b5a1f28c0ee
4232936545,,10420,,WOLFCAMP D,7650,40bfab68-a667-41f2-99fc-aa398243507e
4232937190,,11434,,LOWER SPRABERRY,8152,fc602422-7070-4f70-9a7c-88a204565cdf
4232936927,,10910,,,10520,c3d59411-854b-4a27-a806-5f195e76a401
4232937649,,8802,,UPPER SPRABERRY,8222,9dcdd786-7838-46b7-afca-841692a81208
4232937156,,9899,,WOLFCAMP B,9610,0db26bc9-bdba-4021-8d93-6b5a1f28c0ee
4232937156,,10465,,WOLFCAMP C,10110,0db26bc9-bdba-4021-8d93-6b5a1f28c0ee
4232937514,,9104,,DEAN,8956,d059cc8c-3837-4e9e-b83c-d191576c659f
4232936545,,10590,,,10570,40bfab68-a667-41f2-99fc-aa398243507e
4232937692,,9085,,LOWER SPRABERRY,8901,7a31f1e0-9930-47e2-88f2-b27dc1133863
4232937156,,9123,,DEAN,8932,0db26bc9-bdba-4021-8d93-6b5a1f28c0ee
4232937514,,10520,,WOLFCAMP A,9181,d059cc8c-3837-4e9e-b83c-d191576c659f
4232936963,,10810,,LOWER SPRABERRY,8455,718f8714-c53d-4d7f-b265-f8ab8d50e383
4232937156,,8251,,UPPER SPRABERRY,7936,0db26bc9-bdba-4021-8d93-6b5a1f28c0ee
4232937514,,8807,,LOWER SPRABERRY,8122,d059cc8c-3837-4e9e-b83c-d191576c659f
4232937692,,10822,,WOLFCAMP C,10730,7a31f1e0-9930-47e2-88f2-b27dc1133863
4232936892,,9059,,LOWER SPRABERRY,8897,329dba97-2676-47c7-b3d3-881243610d8b
4232937359,,9900,,WOLFCAMP B,9810,ad64d1be-3aab-4f0a-ab8f-1ff0a928c355
4232937156,,8723,,LOWER SPRABERRY,8358,0db26bc9-bdba-4021-8d93-6b5a1f28c0ee
4232937514,,10748,,,10628,d059cc8c-3837-4e9e-b83c-d191576c659f
4232937692,,8736,,LOWER SPRABERRY,8051,7a31f1e0-9930-47e2-88f2-b27dc1133863
4232936892,,9290,,WOLFCAMP A,9208,329dba97-2676-47c7-b3d3-881243610d8b
4232936932,,10650,,UPPER SPRABERRY,8272,264c4cc4-c057-4773-a1b2-2afbb801dfeb
4232937359,,10326,,WOLFCAMP D,10256,ad64d1be-3aab-4f0a-ab8f-1ff0a928c355
4232937692,,10690,,WOLFCAMP C,9150,7a31f1e0-9930-47e2-88f2-b27dc1133863
4232936892,,9420,,WOLFCAMP A,9400,329dba97-2676-47c7-b3d3-881243610d8b
4232937584,,7460,,,7450,0ad26d55-607c-4412-ab3c-ed3f36a7ef11
4232937359,,9390,,LOWER SPRABERRY,9189,ad64d1be-3aab-4f0a-ab8f-1ff0a928c355
4232936892,,8599,,UPPER SPRABERRY,8322,329dba97-2676-47c7-b3d3-881243610d8b
4232937584,,10400,,,10380,0ad26d55-607c-4412-ab3c-ed3f36a7ef11
4232937776,,11490,,,11020,b8652773-7fc6-4230-b34f-b157fd26a679
4232937288,,10080,,LOWER SPRABERRY,8549,ddb23506-8cc5-421e-bedf-14922a07cee9
4232936981,,10595,,UPPER SPRABERRY,8248,14fc76ce-cddd-41de-a34b-ee87c373ac5e
4232936892,,10467,,WOLFCAMP D,10334,329dba97-2676-47c7-b3d3-881243610d8b
