API,Date,Field,Formation,Lease,Operator,Pool,CO2Injection,GasInjection,OtherInjection,TubingPressure,WaterInjection,WellId
04030328690000,7/1/2010 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,46,5127,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030272810000,10/1/2016 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,200,10436,a82c1c0d-2797-4af8-9187-54ce8663f446
04030272810000,5/1/2007 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,250,10877,a82c1c0d-2797-4af8-9187-54ce8663f446
04030315640000,6/1/2007 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,200,9576,fb91d7d7-9ad6-4e2d-9558-964bb8e2c459
04030315870000,3/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,150,10739,f8a967bc-f3d7-440b-a220-01b919edca83
04030272810000,7/1/2008 12:00:00 AM,"Belridge, South",TULARE,SEBU T,AERA ENERGY LLC,TULARE,0,0,0,200,9163,a82c1c0d-2797-4af8-9187-54ce8663f446
04030328690000,4/1/2017 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,23,2548,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,11/1/2011 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,31,10751,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,1/1/2014 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,119,1971,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
04030328690000,1/1/2013 12:00:00 AM,Cymric,TULARE,McPhee,CHEVRON USA INC,TULARE,0,0,0,50,4505,ceb43361-dceb-4ed5-b9b1-ac3ad95ff8b6
