WellId,API,Date,Oil,Gas,Water,State,County,Field,Operator,Days,DailyOil,DailyGas,DailyWater
05a239f5-3036-4b08-9c18-528286ff49f8,4238935804,2/1/2018 12:00:00 AM,22447,48128,0,Texas,REEVES,,DIAMONDBACK E&P LLC,28,802,1719,0
9b9b96f7-2de3-438f-8d61-91ce04194113,4238340010,2/1/2018 12:00:00 AM,17767,31430,0,Texas,REAGAN,,"PARSLEY ENERGY OPERATIONS, LLC",28,635,1123,0
76c6bce9-e084-4304-bb52-091629371126,4238339881,1/1/2018 12:00:00 AM,14567,68992,0,Texas,REAGAN,,"PARSLEY ENERGY OPERATIONS, LLC",31,470,2226,0
76c6bce9-e084-4304-bb52-091629371126,4238339881,2/1/2018 12:00:00 AM,10415,55020,0,Texas,REAGAN,,"PARSLEY ENERGY OPERATIONS, LLC",28,372,1965,0
76c6bce9-e084-4304-bb52-091629371126,4238339881,11/1/2017 12:00:00 AM,19116,41433,0,Texas,REAGAN,,"PARSLEY ENERGY OPERATIONS, LLC",30,637,1381,0
55ff41a4-e581-4a67-8b18-ae2ddb5cf023,4238936086,1/1/2018 12:00:00 AM,27790,111368,0,Texas,REEVES,,"EOG RESOURCES, INC.",31,896,3593,0
55ff41a4-e581-4a67-8b18-ae2ddb5cf023,4238936086,2/1/2018 12:00:00 AM,21122,80683,0,Texas,REEVES,,"EOG RESOURCES, INC.",28,754,2882,0
c1236cef-3bbc-4144-ba33-66ee8fc4dc65,4238935665,1/1/2018 12:00:00 AM,19862,77420,0,Texas,REEVES,,"EOG RESOURCES, INC.",31,641,2497,0
c1236cef-3bbc-4144-ba33-66ee8fc4dc65,4238935665,2/1/2018 12:00:00 AM,10917,44319,0,Texas,REEVES,,"EOG RESOURCES, INC.",28,390,1583,0
24ec7d9a-98e8-4423-83dc-02711c1a069c,4246140624,2/1/2018 12:00:00 AM,18050,37855,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,28,645,1352,0
24ec7d9a-98e8-4423-83dc-02711c1a069c,4246140624,12/1/2017 12:00:00 AM,16469,14173,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,0,0,0,0
4868e77f-0d73-4425-80f6-13391f176398,4246140623,12/1/2017 12:00:00 AM,7585,7640,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,0,0,0,0
4868e77f-0d73-4425-80f6-13391f176398,4246140623,1/1/2018 12:00:00 AM,33650,31118,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,31,1085,1004,0
f73eeb3b-27c2-41c5-8cff-50d82ac07fcd,4246140625,1/1/2018 12:00:00 AM,19718,22519,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,31,636,726,0
f73eeb3b-27c2-41c5-8cff-50d82ac07fcd,4246140625,12/1/2017 12:00:00 AM,16004,14229,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,0,0,0,0
075ea15b-9d88-4d9f-97f8-3a782d5709e1,4246140627,1/1/2018 12:00:00 AM,31075,28285,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,31,1002,912,0
075ea15b-9d88-4d9f-97f8-3a782d5709e1,4246140627,2/1/2018 12:00:00 AM,21776,32818,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,28,778,1172,0
bd894473-ea3e-4c98-8e15-759cbeacb18a,4246140626,12/1/2017 12:00:00 AM,13834,12603,0,Texas,UPTON,,ENCANA OIL & GAS(USA) INC.,0,0,0,0
