API,Comments,EffectiveDate,Field,Orginization,Status,StatusDate,WellName,WellId
4232937276,Producing operator changed.,7/1/2012 12:00:00 AM,SPRABERRY (TREND AREA),DIAMONDBACK E&amp;P LLC,,,,398a7eed-3eaf-49b1-86b9-0be14538ccd9
4232933660,Producing operator changed.,8/1/2003 12:00:00 AM,SPRABERRY (TREND AREA),FOREST OIL CORPORATION,,,,4570e45c-f12d-48dd-8d55-82ea5695eb2c
4232933660,Producing operator changed.,10/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),ATHLON ENERGY OPERATING LLC,,,,4570e45c-f12d-48dd-8d55-82ea5695eb2c
4232933660,Producing operator changed.,7/1/2003 12:00:00 AM,SPRABERRY (TREND AREA),OXY USA WTP LP,,,,4570e45c-f12d-48dd-8d55-82ea5695eb2c
4232933660,Producing operator changed.,1/1/2002 12:00:00 AM,SPRABERRY (TREND AREA),BP AMERICA PRODUCTION COMPANY,,,,4570e45c-f12d-48dd-8d55-82ea5695eb2c
4232933660,Producing operator changed.,1/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),"SANDRIDGE EXPL. AND PROD., LLC",,,,4570e45c-f12d-48dd-8d55-82ea5695eb2c
4232936517,Producing operator changed.,4/1/2000 12:00:00 AM,SPRABERRY (TREND AREA),EXXON MOBIL CORPORATION,,,,a939d1b4-a648-4ecd-bba6-fdff9e80fd78
4232936517,Producing operator changed.,8/1/2005 12:00:00 AM,SPRABERRY (TREND AREA),"PIONEER NATURAL RES. USA, INC.",,,,a939d1b4-a648-4ecd-bba6-fdff9e80fd78
4232936539,Producing operator changed.,8/1/2008 12:00:00 AM,SPRABERRY (TREND AREA),HENRY RESOURCES LLC,,,,1db772f7-77d0-4a51-bc7a-3059375c3746
4232936784,Producing operator changed.,1/1/2004 12:00:00 AM,SPRABERRY (TREND AREA),"PIONEER NATURAL RES. USA, INC.",,,,58d8b9ba-d289-4d01-bf8c-0bb629b12316
4232936831,Producing operator changed.,10/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),ATHLON ENERGY OPERATING LLC,,,,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936831,Producing operator changed.,1/1/2002 12:00:00 AM,SPRABERRY (TREND AREA),BP AMERICA PRODUCTION COMPANY,,,,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936831,Producing operator changed.,7/1/2003 12:00:00 AM,SPRABERRY (TREND AREA),OXY USA WTP LP,,,,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936831,Producing operator changed.,1/1/2010 12:00:00 AM,SPRABERRY (TREND AREA),"SANDRIDGE EXPL. AND PROD., LLC",,,,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232936831,Producing operator changed.,8/1/2003 12:00:00 AM,SPRABERRY (TREND AREA),FOREST OIL CORPORATION,,,,56ed0c04-2692-4ebe-81c0-545477ef62e0
4232931459,Producing operator changed.,4/1/1998 12:00:00 AM,SPRABERRY (TREND AREA),EEX CORPORATION,,,,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
4232931459,Producing operator changed.,12/1/1998 12:00:00 AM,SPRABERRY (TREND AREA),ENERGEN RESOURCES CORPORATION,,,,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
4232931459,Producing operator changed.,11/1/1998 12:00:00 AM,SPRABERRY (TREND AREA),"TAURUS EXPLORATION U.S.A., INC.",,,,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
4232931459,Producing operator changed.,3/1/1995 12:00:00 AM,SPRABERRY (TREND AREA),"ENSERCH EXPLORATION, INC",,,,b34cd338-d7ff-4a1f-b5f9-e308dd5d2fe2
